project,shift
HdrHistogram__HdrHistogram,0.00836440053511573
JCTools__JCTools,0.025478587399660507
ReactiveX__RxJava,0.0019797060793159535
RoaringBitmap__RoaringBitmap,0.0019843440796412587
apache__arrow,0.002985394202772212
apache__camel,0.003066672345996037
apache__hive,0.0007230114811919798
apache__kafka,0.0022189937470126013
apache__logging-log4j2,0.006455119342051144
apache__tinkerpop,0.0018831577620897113
cantaloupe-project__cantaloupe,0.0005883559998602477
crate__crate,0.003940643517120678
eclipse-vertx__vert.x,0.0045198459737558205
eclipse__eclipse-collections,0.003829312982225989
eclipse__jetty.project,0.004280323576987957
eclipse__rdf4j,8.459957840112618e-05
h2oai__h2o-3,0.0030874519482466892
hazelcast__hazelcast,0.003123621010153867
imglib__imglib2,0.000563857545302838
jdbi__jdbi,0.02478528114201895
jgrapht__jgrapht,0.002950917649005996
netty__netty,0.0030790404287800383
openzipkin__zipkin,0.002808122779471395
prestodb__presto,0.0019304082858209825
prometheus__client_java,0.003976187157309936
protostuff__protostuff,0.0023549551008934765
r2dbc__r2dbc-h2,0.0006481193030703027
raphw__byte-buddy,0.012656432775975234
yellowstonegames__SquidLib,0.0037047163744285657
zalando__logbook,0.0024979131098985933
